STD_CITY,PROPERTY_ID,PROPERTY_CATEGORY_NAME,PROPERTY_NAME_TEXT,ORIGINAL_LOAN_AMOUNT,LOAN_MATURITY_DATE,OPIIS_SIZE_CATEGORY
Pennington                  ,800225589.0,Insured-Unsubsidized,Capital Health System,755874500.0,1/1/2037 12:00:00 AM,
White Settlement            ,800225933.0,Insured-Unsubsidized,Oak Timbers - White Settlement Apartments,4000000.0,3/1/2025 12:00:00 AM,High-Medium
Carlinville                 ,800225983.0,Insured-Unsubsidized,Carlinville,19250000.0,5/1/2035 12:00:00 AM,
Grand Coulee                ,800226573.0,Insured-Unsubsidized,Coulee Community Hospital,18864200.0,10/1/2041 12:00:00 AM,
Vidalia                     ,800226611.0,Insured-Unsubsidized,Meadows Regional Medical Center,74435000.0,5/1/2036 12:00:00 AM,
Dallas                      ,800226980.0,Insured-Unsubsidized,Reese Court Villas,2758300.0,1/1/2027 12:00:00 AM,High-Medium
Herrin                      ,800227024.0,Insured-Unsubsidized,Friendship Care Center,0.0,,
Anna                        ,800227025.0,Insured-Unsubsidized,City Care Center of Anna,0.0,,
Dayton                      ,800221146.0,Insured-Unsubsidized,The Sanctuary at Wilmington Pond,0.0,,
Fox Lake                    ,800221734.0,Insured-Unsubsidized,Paradise Park Assisted Living,0.0,,
Albuquerque                 ,800222055.0,Insured-Unsubsidized,UNIVERSITY OF NEW MEXICO HOSPITAL,320000000.0,9/1/2049 12:00:00 AM,
Arcadia                     ,800223276.0,Insured-Unsubsidized,Methodist Hospital,0.0,,
Ridgecrest                  ,800223385.0,Insured-Unsubsidized,Ridgecrest Regional Hospital,68822000.0,7/1/2035 12:00:00 AM,
Jacksonville                ,800223460.0,Insured-Unsubsidized,Onslow County Hospital Authority,23109200.0,11/1/2050 12:00:00 AM,
Cobden                      ,800227026.0,Insured-Unsubsidized,City Care Center of Cobden,0.0,,
Ridgway                     ,800227036.0,Insured-Unsubsidized,Ridgway Manor,0.0,,
Mansfield                   ,800227233.0,Insured-Unsubsidized,Mansfield Memorial Homes,0.0,,
Washington                  ,800226632.0,Insured-Unsubsidized,Wills Memorial Hospital,12873700.0,2/1/2037 12:00:00 AM,
Leawood                     ,800226684.0,Insured-Unsubsidized,Neighborhoods at Sharon Lane,0.0,,
Peoria                      ,800226797.0,Insured-Unsubsidized,Peoria Assisted Living Facility,0.0,,
Reno                        ,800226852.0,Insured-Unsubsidized,Bordeaux by the Lake,0.0,,
Jupiter                     ,800227564.0,Insured-Unsubsidized,Inst for Aging Life Sci and Res at Abacoa,0.0,,
Scottsdale                  ,800227599.0,Insured-Unsubsidized,Belmont Village Scottsdale,0.0,,
Ashland                     ,800227613.0,Insured-Unsubsidized,Reservoir Continuum Care,0.0,,
Sewickley                   ,800211955.0,Insured-Unsubsidized,The Verland Foundation,0.0,,
Laurel                      ,800224312.0,Insured-Unsubsidized,Greater Laurel Health and Rehabilitation,0.0,,
Albany                      ,800224608.0,Insured-Unsubsidized,Westover Place Apartments,1672000.0,1/1/2025 12:00:00 AM,Low-Medium
Siler City                  ,800224625.0,Insured-Unsubsidized,Chatham Hospital,0.0,,
Bay City                    ,800225113.0,Insured-Unsubsidized,Metagorda County Hospital District,41677919.0,12/1/2034 12:00:00 AM,
Phoenix                     ,800227460.0,Insured-Unsubsidized,Villages of East Camelback,0.0,,
Oceanside                   ,800227461.0,Insured-Unsubsidized,Villa at Mission San Luis Rey,0.0,,
Peoria                      ,800227462.0,Insured-Unsubsidized,Agua Fria Assisted Living Facility,0.0,,
Land O Lakes                ,800227524.0,Insured-Unsubsidized,Village Walk Assisted Living,0.0,,
Plant City                  ,800227541.0,Insured-Unsubsidized,Plant City Assisted Living,0.0,,
Faribault                   ,800227561.0,Insured-Unsubsidized,Faribault Senior Housing,0.0,,
Surprise                    ,800227562.0,Insured-Unsubsidized,Diamond Resort Retirement Community,0.0,,
South Lyon                  ,800227563.0,Insured-Unsubsidized,Cambrian of Lyon,0.0,,
Bend                        ,800226936.0,Insured-Unsubsidized,High Desert Assisted Living Facility,0.0,,
Dallas                      ,800226975.0,Insured-Unsubsidized,Sphinx at Luxar Villas,3300000.0,1/1/2027 12:00:00 AM,High-Medium
Smithfield                  ,800223490.0,Insured-Unsubsidized,Johnston Memorial Hospital,134814441.0,7/1/2035 12:00:00 AM,
New Port Richey             ,800227747.0,Insured-Unsubsidized,Magnolia Oaks Assisted Living,0.0,,
Buffalo                     ,800027671.0,Insured-Unsubsidized,BUFFALO GENERAL HOSPITAL,128042400.0,10/1/2042 12:00:00 AM,
Chicago                     ,800039756.0,Insured-Unsubsidized,MOUNT SINAI HOSPITAL,102066816.0,1/1/2036 12:00:00 AM,
New York                    ,800025998.0,Insured-Unsubsidized,ST. LUKE'S ROOSEVELT HOSPITAL,319555000.0,5/1/2030 12:00:00 AM,
Brooklyn                    ,800026179.0,Insured-Unsubsidized,BROOKLYN  HOSPITAL CENTER,50843260.0,8/1/2026 12:00:00 AM,
Brooklyn                    ,800026208.0,Insured-Unsubsidized,MAIMONIDES MEDICAL CENTER,141202000.0,7/1/2048 12:00:00 AM,
Pana                        ,800212102.0,Insured-Unsubsidized,Prairie Rose Health Care Cente,3635000.0,2/1/2036 12:00:00 AM,High-Medium
Freeport                    ,800212103.0,Insured-Unsubsidized,Freeport Manor,0.0,,
Jacksonville                ,800212246.0,Insured-Unsubsidized,Somerset Court of Jacksonville,0.0,,
Holyoke                     ,800224198.0,Insured-Unsubsidized,Melissa Memorial Hospital Corp,13207000.0,5/1/2033 12:00:00 AM,Large
Jupiter                     ,800227633.0,Insured-Unsubsidized,The Allegro at Abacoa,0.0,,
Burnsville                  ,800227690.0,Insured-Unsubsidized,Regent Suites at the Summit,0.0,,
Malabar                     ,800231292.0,Insured-Unsubsidized,Malabar ALF,0.0,,
Seymour                     ,800231301.0,Insured-Unsubsidized,Trinity Valley,0.0,,
Library                     ,800213869.0,Insured-Unsubsidized,Mt. Vernon of South Park,0.0,,
Elizabeth                   ,800213871.0,Insured-Unsubsidized,Mt. Vernon of Elizabeth,0.0,,
Edgerton                    ,800227626.0,Insured-Unsubsidized,Edgerton Hospital and Health Services,25900000.0,10/1/2036 12:00:00 AM,
Phoenix                     ,800227348.0,Insured-Unsubsidized,Desert Haven,0.0,,
Jacksonville                ,800227364.0,Insured-Unsubsidized,Belfort Senior Living,0.0,,
Manchester                  ,800057602.0,Insured-Unsubsidized,OAK KNOLL RESIDENTIAL CARE,0.0,,
,800068858.0,Insured-Unsubsidized,HAMMOND ELDERLY FACILITY,0.0,,
Jeffersonville              ,800068861.0,Insured-Unsubsidized,FOUNTAIN CREST ALZHEIMER'S FAC,0.0,,
Torrance                    ,800076167.0,Insured-Unsubsidized,VERMONT RET CTR,0.0,,
Charleston                  ,800220359.0,Insured-Unsubsidized,MEDICAL UNIVERSITY HOSPITAL AUTHORITY PHASE I,316397200.0,7/1/2044 12:00:00 AM,
Phenix City                 ,800220573.0,Insured-Unsubsidized,Summit Regional Hospital,30571000.0,8/1/2031 12:00:00 AM,
Bronx                       ,800250134.0,Insured-Unsubsidized,Parkchester Gardens,0.0,,
Prospect                    ,800210321.0,Insured-Unsubsidized,Prospect Elder Care,0.0,,
Danville                    ,800210848.0,Insured-Unsubsidized,John Chambers Memorial Hospital,9900000.0,7/1/2033 12:00:00 AM,Large
Palm Bay                    ,800227374.0,Insured-Unsubsidized,The Biscayne at Bay Side,0.0,,
Cayey                       ,800227376.0,Insured-Unsubsidized,Hospital Menonita,129966100.0,4/1/2037 12:00:00 AM,
Lanse                       ,800227396.0,Insured-Unsubsidized,Baraga County Memorial Hospital,27653800.0,9/1/2036 12:00:00 AM,
High Point                  ,800219333.0,Insured-Unsubsidized,Wesleyan Arms Retirement Center,0.0,,
Yakima                      ,800220098.0,Insured-Unsubsidized,Crescent Health Care,4143957.0,2/1/2046 12:00:00 AM,High-Medium
Bronx                       ,800054178.0,Insured-Unsubsidized,ST BARNABAS HOSPITAL,86358900.0,5/1/2030 12:00:00 AM,
Baton Rouge                 ,800220678.0,Insured-Unsubsidized,Baton Rouge General Medical Center,45474000.0,5/1/2035 12:00:00 AM,
Cambridge                   ,800248648.0,Insured-Unsubsidized,Squirrelwood,0.0,,
New York                    ,800250053.0,Insured-Unsubsidized,37 Hillside,0.0,,
Winchester                  ,800250066.0,Insured-Unsubsidized,Meadow Branch Apts Phase II,35421300.0,10/1/2063 12:00:00 AM,
Bloomington                 ,800250118.0,Insured-Unsubsidized,Lincoln Lofts,2800000.0,9/1/2062 12:00:00 AM,
Charleston                  ,800250120.0,Insured-Unsubsidized,Medical University Hospital Authority,79682500.0,5/1/2047 12:00:00 AM,
